state_slug,state,police_service,year,complaints_per_100k_people,complaints_per_100_sworn_staff,deaths_in_police_custody,deaths_indigenous,oversight_body
act,Australian Capital Territory,ACT Policing,2007-08,,,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2008-09,,,1,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2009-10,,,1,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2010-11,,,1,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2011-12,,,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2012-13,,,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2013-14,,,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2014-15,,,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2015-16,22.8,13.0,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2016-17,16.9,10.0,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2017-18,21.9,13.5,1,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2018-19,18.3,11.0,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2019-20,14.8,9.1,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2020-21,9.2,5.6,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2021-22,8.4,5.2,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2022-23,8.5,5.0,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2023-24,11.5,6.6,0,0,ACT Ombudsman
act,Australian Capital Territory,ACT Policing,2024-25,11.8,6.6,0,0,ACT Ombudsman
nsw,New South Wales,NSW Police Force,2007-08,,,6,0,Law Enforcement Conduct Commission
nsw,New South Wales,NSW Police Force,2008-09,,,6,0,Law Enforcement Conduct Commission
nsw,New South Wales,NSW Police Force,2009-10,,,5,2,Law Enforcement Conduct Commission
