force_slug,force_name,complaint_cases_logged,reviews_completed,outcomes_overturned,overturn_pct,period
avon-and-somerset,Avon and Somerset Constabulary,,185,43,23.2,2024/25
bedfordshire,Bedfordshire Police,,57,8,14.0,2024/25
british-transport,British Transport,,48,4,8.3,2024/25
cambridgeshire,Cambridgeshire Constabulary,,59,13,22.0,2024/25
cheshire,Cheshire Constabulary,,143,13,9.1,2024/25
city-of-london,City of London Police,,3,1,33.3,2024/25
cleveland,Cleveland Police,,66,25,37.9,2024/25
cumbria,Cumbria Constabulary,,62,13,21.0,2024/25
derbyshire,Derbyshire Constabulary,,78,8,10.3,2024/25
devon-and-cornwall,Devon & Cornwall Police,,172,69,40.1,2024/25
dorset,Dorset Police,,112,31,27.7,2024/25
durham,Durham Constabulary,,47,11,23.4,2024/25
dyfed-powys,Dyfed-Powys Police,,75,16,21.3,2024/25
essex,Essex Police,,222,64,28.8,2024/25
gloucestershire,Gloucestershire Constabulary,,50,10,20.0,2024/25
greater-manchester,Greater Manchester Police,,337,120,35.6,2024/25
gwent,Gwent Police,,43,13,30.2,2024/25
hampshire,Hampshire Constabulary,,104,25,24.0,2024/25
hertfordshire,Hertfordshire Constabulary,,63,13,20.6,2024/25
humberside,Humberside Police,,106,15,14.2,2024/25
kent,Kent Police,,285,53,18.6,2024/25
lancashire,Lancashire Constabulary,,140,21,15.0,2024/25
leicestershire,Leicestershire Police,,203,14,6.9,2024/25
lincolnshire,Lincolnshire Police,,137,36,26.3,2024/25
merseyside,Merseyside Police,,77,10,13.0,2024/25
metropolitan,Metropolitan Police Service,,971,350,36.0,2024/25
norfolk,Norfolk Constabulary,,56,8,14.3,2024/25
north-wales,North Wales Police,,62,14,22.6,2024/25
north-yorkshire,North Yorkshire Police,,30,7,23.3,2024/25
northamptonshire,Northamptonshire Police,,74,21,28.4,2024/25
northumbria,Northumbria Police,,141,28,19.9,2024/25
nottinghamshire,Nottinghamshire Police,,136,27,19.9,2024/25
south-wales,South Wales Police,,189,46,24.3,2024/25
south-yorkshire,South Yorkshire Police,,76,19,25.0,2024/25
staffordshire,Staffordshire Police,,124,20,16.1,2024/25
suffolk,Suffolk Constabulary,,47,14,29.8,2024/25
surrey,Surrey Police,,144,17,11.8,2024/25
sussex,Sussex Police,,218,26,11.9,2024/25
thames-valley,Thames Valley Police,,217,59,27.2,2024/25
warwickshire,Warwickshire Police,,32,11,34.4,2024/25
west-mercia,West Mercia Police,,59,7,11.9,2024/25
west-midlands,West Midlands Police,,158,48,30.4,2024/25
west-yorkshire,West Yorkshire Police,,377,97,25.7,2024/25
wiltshire,Wiltshire Police,,61,16,26.2,2024/25
