force_slug,force_name,searches_total,months_with_data,no_further_action_n,no_further_action_d,no_further_action_pct,more_than_outer_clothing_n,more_than_outer_clothing_d,ethnicity_not_recorded_n,ethnicity_not_recorded_pct,period,note
avon-and-somerset,Avon and Somerset Constabulary,19099,36,10994,17351,63.4,596,17274,2623,13.7,2023-07 to 2026-06,
bedfordshire,Bedfordshire Police,11786,34,8581,11785,72.8,459,9420,714,6.1,2023-07 to 2026-04,
british-transport,British Transport,,,,,,,,,,,no stop and search data published to data.police.uk
cambridgeshire,Cambridgeshire Constabulary,8373,35,5572,8373,66.5,96,6100,503,6.0,2023-07 to 2026-05,
cheshire,Cheshire Constabulary,36857,35,26638,35917,74.2,385,35917,940,2.6,2023-07 to 2026-05,
city-of-london,City of London Police,6169,36,4646,6169,75.3,93,6169,185,3.0,2023-07 to 2026-06,
cleveland,Cleveland Police,19967,34,14906,17595,84.7,0,0,4062,20.3,2023-07 to 2026-04,
cumbria,Cumbria Constabulary,26757,36,18516,24186,76.6,111,9957,4549,17.0,2023-07 to 2026-06,
derbyshire,Derbyshire Constabulary,13028,36,9274,12914,71.8,317,12642,796,6.1,2023-07 to 2026-06,
devon-and-cornwall,Devon & Cornwall Police,17557,36,11361,16252,69.9,373,17049,681,3.9,2023-07 to 2026-06,
dorset,Dorset Police,5765,36,1187,2634,45.1,279,5754,873,15.1,2023-07 to 2026-06,
durham,Durham Constabulary,8302,36,5245,7887,66.5,49,8091,319,3.8,2023-07 to 2026-06,
dyfed-powys,Dyfed-Powys Police,8883,29,4508,6644,67.9,0,8883,182,2.0,2023-07 to 2025-11,
essex,Essex Police,44362,36,31445,44362,70.9,0,0,3720,8.4,2023-07 to 2026-06,
gloucestershire,Gloucestershire Constabulary,5180,31,3387,5178,65.4,88,4096,346,6.7,2023-07 to 2026-01,
greater-manchester,Greater Manchester Police,,,,,,,,,,,no stop and search data published to data.police.uk
gwent,Gwent Police,,,,,,,,,,,no stop and search data published to data.police.uk
hampshire,Hampshire Constabulary,42571,36,28689,42206,68.0,1425,42571,0,0.0,2023-07 to 2026-06,
hertfordshire,Hertfordshire Constabulary,20318,35,14565,19587,74.4,527,14966,1714,8.4,2023-07 to 2026-05,
humberside,Humberside Police,5688,13,3746,5055,74.1,308,5461,368,6.5,2023-07 to 2025-03,
kent,Kent Police,48772,36,31255,47935,65.2,143,48772,2270,4.7,2023-07 to 2026-06,
lancashire,Lancashire Constabulary,75767,36,57822,73486,78.7,0,0,7074,9.3,2023-07 to 2026-06,
leicestershire,Leicestershire Police,15064,36,7734,11550,67.0,304,14638,1094,7.3,2023-07 to 2026-06,
lincolnshire,Lincolnshire Police,7041,31,6454,7041,91.7,124,6218,467,6.6,2023-07 to 2026-01,
merseyside,Merseyside Police,182231,36,116719,150950,77.3,3784,151015,11133,6.1,2023-07 to 2026-06,
metropolitan,Metropolitan Police Service,373367,34,251933,373321,67.5,4744,294543,19944,5.3,2023-07 to 2026-05,
norfolk,Norfolk Constabulary,6400,29,4064,6400,63.5,97,6400,196,3.1,2023-07 to 2025-11,
north-wales,North Wales Police,11435,36,8010,10908,73.4,122,11435,0,0.0,2023-07 to 2026-06,
north-yorkshire,North Yorkshire Police,960,14,44,218,20.2,0,0,187,19.5,2024-07 to 2025-08,
northamptonshire,Northamptonshire Police,11682,36,9486,11682,81.2,328,11682,224,1.9,2023-07 to 2026-06,
northumbria,Northumbria Police,30510,36,22651,30510,74.2,1653,30215,1944,6.4,2023-07 to 2026-06,
nottinghamshire,Nottinghamshire Police,8794,28,5886,8794,66.9,1246,8774,40,0.5,2023-07 to 2025-10,
south-wales,South Wales Police,15502,34,11035,15252,72.4,1767,13766,4282,27.6,2023-07 to 2026-04,
south-yorkshire,South Yorkshire Police,36276,36,24728,36276,68.2,562,23028,8561,23.6,2023-07 to 2026-06,
staffordshire,Staffordshire Police,19405,36,11240,18014,62.4,238,18190,10940,56.4,2023-07 to 2026-06,
suffolk,Suffolk Constabulary,6599,29,4332,6599,65.6,171,6599,226,3.4,2023-07 to 2025-11,
surrey,Surrey Police,17179,36,11585,17066,67.9,0,0,304,1.8,2023-07 to 2026-06,
sussex,Sussex Police,19557,36,11526,19457,59.2,452,19339,209,1.1,2023-07 to 2026-06,
thames-valley,Thames Valley Police,49360,36,36564,49073,74.5,1030,48678,674,1.4,2023-07 to 2026-06,
warwickshire,Warwickshire Police,3956,36,2829,3956,71.5,335,3956,123,3.1,2023-07 to 2026-06,
west-mercia,West Mercia Police,10843,36,6979,10675,65.4,340,7541,303,2.8,2023-07 to 2026-06,
west-midlands,West Midlands Police,83996,36,54216,77635,69.8,720,74647,22258,26.5,2023-07 to 2026-06,
west-yorkshire,West Yorkshire Police,55561,36,36781,54925,67.0,1586,51990,5325,9.6,2023-07 to 2026-06,
wiltshire,Wiltshire Police,6955,36,4176,6629,63.0,174,6661,1193,17.2,2023-07 to 2026-06,
