force_slug,force_name,publishable,ethnic_group,searches_recorded_total,searches_this_group_pct,residents_this_group_pct,disparity_ratio,ethnicity_not_recorded_pct,period,reason
avon-and-somerset,Avon and Somerset Constabulary,true,Black,16476,13.0,2.2,5.9,13.7,2023-07 to 2026-06,
avon-and-somerset,Avon and Somerset Constabulary,true,Asian,16476,4.0,3.5,1.1,13.7,2023-07 to 2026-06,
avon-and-somerset,Avon and Somerset Constabulary,true,Mixed,16476,5.7,2.5,2.3,13.7,2023-07 to 2026-06,
avon-and-somerset,Avon and Somerset Constabulary,true,White,16476,75.8,90.8,0.8,13.7,2023-07 to 2026-06,
avon-and-somerset,Avon and Somerset Constabulary,true,Other,16476,1.5,1.0,1.5,13.7,2023-07 to 2026-06,
bedfordshire,Bedfordshire Police,true,Black,11072,19.5,5.6,3.5,6.1,2023-07 to 2026-06,
bedfordshire,Bedfordshire Police,true,Asian,11072,22.4,16.6,1.3,6.1,2023-07 to 2026-06,
bedfordshire,Bedfordshire Police,true,Mixed,11072,,3.8,,6.1,2023-07 to 2026-06,no searches recorded for this group in the period
bedfordshire,Bedfordshire Police,true,White,11072,56.3,72.0,0.8,6.1,2023-07 to 2026-06,
bedfordshire,Bedfordshire Police,true,Other,11072,1.8,1.9,0.9,6.1,2023-07 to 2026-06,
cambridgeshire,Cambridgeshire Constabulary,true,Black,7870,12.2,2.1,5.8,6.0,2023-07 to 2026-06,
cambridgeshire,Cambridgeshire Constabulary,true,Asian,7870,12.0,7.9,1.5,6.0,2023-07 to 2026-06,
cambridgeshire,Cambridgeshire Constabulary,true,Mixed,7870,,3.0,,6.0,2023-07 to 2026-06,no searches recorded for this group in the period
cambridgeshire,Cambridgeshire Constabulary,true,White,7870,72.5,85.4,0.8,6.0,2023-07 to 2026-06,
cambridgeshire,Cambridgeshire Constabulary,true,Other,7870,3.4,1.7,2.0,6.0,2023-07 to 2026-06,
cheshire,Cheshire Constabulary,true,Black,35917,3.5,0.6,5.8,2.6,2023-07 to 2026-06,
cheshire,Cheshire Constabulary,true,Asian,35917,3.3,2.3,1.4,2.6,2023-07 to 2026-06,
cheshire,Cheshire Constabulary,true,Mixed,35917,,1.6,,2.6,2023-07 to 2026-06,no searches recorded for this group in the period
cheshire,Cheshire Constabulary,true,White,35917,90.9,94.8,1.0,2.6,2023-07 to 2026-06,
cheshire,Cheshire Constabulary,true,Other,35917,2.3,0.7,3.3,2.6,2023-07 to 2026-06,
city-of-london,City of London Police,true,Black,5984,28.5,2.7,10.6,3.0,2023-07 to 2026-06,
city-of-london,City of London Police,true,Asian,5984,15.4,16.8,0.9,3.0,2023-07 to 2026-06,
city-of-london,City of London Police,true,Mixed,5984,,5.5,,3.0,2023-07 to 2026-06,no searches recorded for this group in the period
city-of-london,City of London Police,true,White,5984,45.7,69.4,0.7,3.0,2023-07 to 2026-06,
city-of-london,City of London Police,true,Other,5984,10.5,5.6,1.9,3.0,2023-07 to 2026-06,
cleveland,Cleveland Police,false,Black,15905,1.9,1.2,,20.3,2023-07 to 2026-06,force records ethnicity on only 80% of searches
cleveland,Cleveland Police,false,Asian,15905,4.6,4.7,,20.3,2023-07 to 2026-06,force records ethnicity on only 80% of searches
cleveland,Cleveland Police,false,Mixed,15905,,1.3,,20.3,2023-07 to 2026-06,force records ethnicity on only 80% of searches
cleveland,Cleveland Police,false,White,15905,92.5,91.7,,20.3,2023-07 to 2026-06,force records ethnicity on only 80% of searches
cleveland,Cleveland Police,false,Other,15905,1.0,1.1,,20.3,2023-07 to 2026-06,force records ethnicity on only 80% of searches
cumbria,Cumbria Constabulary,true,Black,22208,1.8,0.2,,17.0,2023-07 to 2026-06,resident share 0.2% is below the 0.5% stability floor; a ratio on this denominator would be unreliable
