agency_slug,agency,state,ori,killed_by_police,bodycam_active_pct,mental_illness_recorded_pct,officers_charged,convicted_or_pleaded_guilty,period
los-angeles-police-department-ca,Los Angeles Police Department,California,CA0194200,220,34.2,19.7,3,1,2013 to 2026
phoenix-police-department-az,Phoenix Police Department,Arizona,AZ0072300,185,27.3,18.2,0,0,2013 to 2026
los-angeles-county-sheriff-s-office-ca,Los Angeles County Sheriff's Office,California,CA0190000,172,10.4,17.6,2,0,2013 to 2026
new-york-police-department-ny,New York Police Department,New York,NY0303000,141,28.9,31.7,5,1,2013 to 2026
houston-police-department-tx,Houston Police Department,Texas,TXHPD0000,140,40.7,19.7,2,1,2013 to 2026
san-antonio-police-department-tx,San Antonio Police Department,Texas,TXSPD0000,111,30.6,13.7,1,0,2013 to 2026
chicago-police-department-il,Chicago Police Department,Illinois,ILCPD0000,110,38.3,8.4,4,3,2013 to 2026
las-vegas-metropolitan-police-department-nv,Las Vegas Metropolitan Police Department,Nevada,NV0021300,110,47.6,34.7,1,0,2013 to 2026
jacksonville-sheriff-s-office-fl,Jacksonville Sheriff's Office,Florida,FL0162400,86,31.0,28.0,0,0,2013 to 2026
albuquerque-police-department-nm,Albuquerque Police Department,New Mexico,NM0010100,84,38.7,23.8,1,0,2013 to 2026
pennsylvania-state-police-pa,Pennsylvania State Police,Pennsylvania,PAPSPAB00,76,1.9,32.8,0,0,2013 to 2026
oklahoma-city-police-department-ok,Oklahoma City Police Department,Oklahoma,OK0550600,70,41.3,25.0,3,1,2013 to 2026
california-highway-patrol-ca,California Highway Patrol,California,CA0349900,69,8.3,18.5,1,0,2013 to 2026
miami-dade-police-department-fl,Miami-Dade Police Department,Florida,FL0136800,68,2.4,19.4,0,0,2013 to 2026
philadelphia-police-department-pa,Philadelphia Police Department,Pennsylvania,PAPEP0000,66,21.1,15.0,4,3,2013 to 2026
columbus-division-of-police-oh,Columbus Division of Police,Ohio,OHCOP0000,65,32.7,22.8,3,0,2013 to 2026
dallas-police-department-tx,Dallas Police Department,Texas,TXDPD0000,60,45.9,13.7,4,1,2013 to 2026
kentucky-state-police-ky,Kentucky State Police,Kentucky,KYKSP2500,60,0.0,15.2,0,0,2013 to 2026
austin-police-department-tx,Austin Police Department,Texas,TX2270100,59,43.8,35.3,4,0,2013 to 2026
harris-county-sheriff-s-office-tx,Harris County Sheriff's Office,Texas,TX1010000,59,13.9,19.6,2,0,2013 to 2026
san-diego-police-department-ca,San Diego Police Department,California,CA0371100,59,73.2,32.1,0,0,2013 to 2026
