state_slug,state,state_code,killed_by_police,population,per_million_per_year,agencies_in_dataset,bodycam_active_pct,bodycam_denominator,mental_illness_recorded_pct,officers_charged,officers_charged_pct,convicted_or_pleaded_guilty,acquitted,period
alabama,Alabama,AL,295,5108468,4.12,143,14.1,205,21.8,7,2.4,3,0,2013 to 2026
alaska,Alaska,AK,97,733406,9.45,22,16.2,68,16.3,0,0.0,0,0,2013 to 2026
arizona,Arizona,AZ,678,7431344,6.52,110,22.1,480,20.7,2,0.3,0,1,2013 to 2026
arkansas,Arkansas,AR,221,3067732,5.15,117,10.3,145,12.4,4,1.8,2,0,2013 to 2026
california,California,CA,2118,38965193,3.88,390,25.8,1444,24.4,23,1.1,5,2,2013 to 2026
colorado,Colorado,CO,486,5877610,5.91,121,20.3,389,14.3,6,1.2,5,1,2013 to 2026
connecticut,Connecticut,CT,63,3617176,1.24,37,46.2,39,30.8,1,1.6,0,0,2013 to 2026
delaware,Delaware,DE,35,1031890,2.42,12,18.2,22,30.0,0,0.0,0,0,2013 to 2026
district-of-columbia,District of Columbia,DC,57,678972,6.0,15,51.5,33,11.8,1,1.8,1,0,2013 to 2026
florida,Florida,FL,1093,22610726,3.45,235,19.1,702,27.5,12,1.1,4,0,2013 to 2026
georgia,Georgia,GA,605,11029227,3.92,256,8.5,400,16.9,16,2.6,7,0,2013 to 2026
hawaii,Hawaii,HI,65,1435138,3.24,8,25.0,48,23.8,1,1.5,0,0,2013 to 2026
idaho,Idaho,ID,124,1964726,4.51,56,20.7,92,17.9,1,0.8,0,0,2013 to 2026
illinois,Illinois,IL,349,12549689,1.99,160,27.2,228,19.6,9,2.6,5,2,2013 to 2026
indiana,Indiana,IN,310,6862199,3.23,130,32.9,216,24.6,4,1.3,2,1,2013 to 2026
iowa,Iowa,IA,101,3207004,2.25,60,24.2,66,21.3,0,0.0,0,0,2013 to 2026
kansas,Kansas,KS,153,2940546,3.72,75,19.6,102,23.8,1,0.7,0,0,2013 to 2026
kentucky,Kentucky,KY,257,4526154,4.06,117,19.2,177,13.1,4,1.6,1,0,2013 to 2026
louisiana,Louisiana,LA,294,4573749,4.59,133,13.9,208,20.6,9,3.1,4,2,2013 to 2026
maine,Maine,ME,70,1395722,3.58,41,4.0,50,21.0,0,0.0,0,0,2013 to 2026
maryland,Maryland,MD,220,6180253,2.54,48,38.1,139,26.0,5,2.3,0,2,2013 to 2026
massachusetts,Massachusetts,MA,97,7001399,0.99,50,14.3,63,34.5,1,1.0,0,0,2013 to 2026
michigan,Michigan,MI,279,10037261,1.99,135,19.6,189,29.5,4,1.4,1,1,2013 to 2026
minnesota,Minnesota,MN,151,5737915,1.88,94,48.1,108,29.6,5,3.3,3,2,2013 to 2026
mississippi,Mississippi,MS,219,2939690,5.32,110,9.0,144,11.9,12,5.5,3,1,2013 to 2026
missouri,Missouri,MO,393,6196156,4.53,146,4.9,265,18.0,4,1.0,2,1,2013 to 2026
montana,Montana,MT,91,1132812,5.74,48,8.7,69,14.5,0,0.0,0,0,2013 to 2026
nebraska,Nebraska,NE,76,1978379,2.74,32,21.6,51,24.2,1,1.3,0,1,2013 to 2026
nevada,Nevada,NV,243,3194176,5.43,38,38.1,181,27.7,1,0.4,0,0,2013 to 2026
new-hampshire,New Hampshire,NH,43,1402054,2.19,27,21.2,33,31.7,0,0.0,0,0,2013 to 2026
